protocol_id,category,applicable_models,hazard,risk_level,pre_operation_checks,operating_procedure,ppe_required,emergency_procedure,regulatory_ref
SP-001,Excavator Operations,Cat 320,Struck-by swing radius,High,Verify swing area clear; check mirrors and cameras; test swing brake,Maintain 20-ft exclusion zone around swing radius; use spotter for blind-side work; sound horn before swinging,Hard hat; high-vis vest; steel-toe boots; safety glasses,Stop swing immediately; activate emergency stop; call site medic,OSHA 1926.1428
SP-002,Excavator Operations,Cat 325,Caught-between tracks and structures,High,Inspect tracks and undercarriage; verify clearances; check backup alarm,Never allow ground workers within 15 ft of moving tracks; use barriers and cones to mark exclusion zone,Hard hat; high-vis vest; steel-toe boots; safety glasses,Shut down engine; call 911 if entrapment; do not move machine until victim is freed,OSHA 1926.1428
SP-003,Excavator Operations,Cat 330,Contact with overhead power lines,Critical,Identify all overhead utilities; verify minimum clearance distances; get utility locate,Maintain 20-ft minimum from lines under 350 kV; use spotter; install insulating links on boom if required,Hard hat; high-vis vest; steel-toe boots; rubber-soled boots; dielectric gloves,Stay in cab if contact occurs; warn others to stay clear; call utility company,OSHA 1926.1408
SP-004,Excavator Operations,Cat 336,Falling from height during entry/exit,Medium,Inspect steps and handrails; remove mud/ice from access points; verify grab handles secure,Maintain 3-point contact; face machine during mount/dismount; never jump from cab,Hard hat; steel-toe boots; high-vis vest,Administer first aid; report fall to supervisor; inspect access system,OSHA 1926.502
SP-005,Excavator Operations,Cat 390F,Struck-by falling material during demolition,High,Survey structure stability; establish exclusion zones; verify demolition plan on file,Demolish from top down; keep bucket above load; avoid undercutting walls; use long-reach arm when possible,Hard hat with face shield; high-vis vest; steel-toe boots; safety glasses; dust mask,Evacuate exclusion zone; sound air horn 3 blasts; account for all personnel,OSHA 1926.850
SP-006,Dozer Operations,Cat D6,Rollover on slope,Critical,Check slope grade with inclinometer; inspect ROPS; verify seatbelt functional,Never operate on slopes exceeding 45%; travel straight up/down slopes; blade low when traveling,Hard hat; steel-toe boots; high-vis vest; seatbelt mandatory,Brace in cab; do not jump; call for extraction after rollover stabilizes,OSHA 1926.1001
SP-007,Dozer Operations,Cat D8,Dust inhalation during grading,Medium,Check cab pressurization and filtration; verify dust suppression water available,Use water truck for dust control; keep cab sealed; install fresh air filters weekly,Hard hat; N95 respirator if outside cab; safety glasses; high-vis vest,Move to fresh air; administer oxygen if breathing difficulty; call medic,OSHA 1926.55
SP-008,Dozer Operations,Cat D6,Struck-by during clearing operations,High,Walk jobsite to identify hidden hazards; verify spotter available; check blade condition,Clear vegetation away from body; use blade to push not lift; maintain escape route awareness,Hard hat; high-vis vest; steel-toe boots; chainsaw chaps if hand-clearing,Stop operations; secure area; administer first aid; report to supervisor,OSHA 1926.604
SP-009,Loader Operations,Cat 950M,Struck-by during loading,High,Inspect bucket teeth and cutting edge; test brakes; verify horn and backup alarm,Never swing loaded bucket over workers; use designated traffic patterns; sound horn at intersections,Hard hat; high-vis vest; steel-toe boots; safety glasses,Shut down machine; render first aid; secure area; notify supervisor,OSHA 1926.602
SP-010,Loader Operations,Cat 950M,Rollover from uneven terrain,Medium,Survey work area for holes and soft ground; check tire pressure; inspect ROPS,Reduce speed on uneven terrain; keep bucket low when traveling; avoid sharp turns on slopes,Hard hat; steel-toe boots; high-vis vest; seatbelt mandatory,Stay in cab with seatbelt; call for extraction; check for fuel/hydraulic leaks,OSHA 1926.1001
SP-011,Loader Operations,Cat 966M,Noise exposure exceeding 85 dBA,Low,Check cab door seals; verify muffler condition; test cab noise level monthly,Keep cab doors and windows closed during operation; limit exposure to 8 hrs at 85 dBA,Earplugs or earmuffs (NRR 25+); hard hat; steel-toe boots,Remove from noise source; check hearing; schedule audiometric test if threshold shift suspected,OSHA 1910.95
SP-012,Articulated Truck Operations,Cat 745,Rollover during haul,Critical,Inspect haul roads; verify berm height min 50% of tire height; check steering and brakes,Reduce speed on curves; no tailgating; keep load level; use designated haul routes only,Hard hat; high-vis vest; steel-toe boots; seatbelt mandatory,Stay in cab; call dispatch; wait for rescue team; do not exit on steep slope,MSHA 30 CFR 56.9100
SP-013,Articulated Truck Operations,Cat 745,Struck-by at dump point,High,Inspect dump area for edge stability; verify spotter present; test body raise,Approach dump edge straight; stop at berm; raise body slowly; do not dump on unstable ground,Hard hat; high-vis vest; steel-toe boots; safety glasses,Lower body immediately; pull forward; secure area; call supervisor,MSHA 30 CFR 56.9101
SP-014,Articulated Truck Operations,Cat 730,Collision at intersection,Medium,Verify radio communication working; inspect lights and mirrors; review traffic plan,Yield to loaded trucks; use headlights at all times; announce position at blind intersections,Hard hat; high-vis vest; steel-toe boots; seatbelt mandatory,Stop both vehicles; check for injuries; secure scene; notify dispatch,MSHA 30 CFR 56.9100
SP-015,Motor Grader Operations,Cat 140M,Struck-by passing traffic,Critical,Set up traffic control per TCP; inspect lights and SMV sign; verify escort vehicle available,Operate with arrow board and escort vehicle; use moldboard to maintain 2-ft offset from traffic,Hard hat; high-vis vest (ANSI Class 3); steel-toe boots; safety glasses,Pull to shoulder; activate hazards; call traffic control; wait for law enforcement,OSHA 1926.651
SP-016,Motor Grader Operations,Cat 140M,Rollover during ditch work,High,Check side slope stability; inspect articulation locks; verify ROPS and seatbelt,Keep circle low; avoid sharp articulation on slopes; travel straight on grades over 15%,Hard hat; steel-toe boots; high-vis vest; seatbelt mandatory,Stay belted in cab; call for help; do not exit until machine stable,OSHA 1926.1001
SP-017,Motor Grader Operations,Cat 160M,Caught-between articulation joint,High,Verify articulation lock engaged before dismount; inspect warning decals present,Never allow personnel near articulation point when engine running; lock frame before maintenance,Hard hat; high-vis vest; steel-toe boots; safety glasses,Shut down engine immediately; call 911; do not attempt to move machine,OSHA 1926.1428
SP-018,Compactor Operations,Cat CS56B,Noise exposure exceeding 90 dBA,Medium,Check cab seals and muffler; measure noise levels; verify hearing protection available,Keep cab sealed; limit vibratory mode to necessary passes; rotate operators every 4 hrs,Hard hat; earplugs AND earmuffs (dual protection); steel-toe boots; high-vis vest,Remove from noise; schedule audiometric evaluation; adjust exposure plan,OSHA 1910.95
SP-019,Compactor Operations,Cat CS56B,Whole-body vibration exposure,Medium,Check seat suspension; verify vibration dampeners functional; inspect drum mounts,Limit continuous operation to 4 hrs; reduce amplitude on hard surfaces; use padded seat,Hard hat; steel-toe boots; high-vis vest; anti-vibration gloves if hand controls,Take mandatory break; report numbness or tingling; schedule medical evaluation,EU Directive 2002/44/EC
SP-020,Compactor Operations,Cat CP56B,Rollover on embankment edge,High,Survey compaction area edges; mark 6-ft setback from slopes; check ROPS,Compact parallel to edge not perpendicular; stay 6 ft from edge; reduce speed near slopes,Hard hat; steel-toe boots; high-vis vest; seatbelt mandatory,Stay in cab; call supervisor; wait for tow vehicle; inspect machine before reuse,OSHA 1926.1001
SP-021,Drilling Operations,Cat MD6250,Dust inhalation from drilling,High,Verify dust collector operational; check water injection system; inspect cab seals,Use dust collector at all times; maintain 50-ft exclusion zone downwind; wet-drill when possible,Hard hat; P100 respirator; safety glasses; high-vis vest; steel-toe boots,Move upwind; administer oxygen if needed; decontaminate; call medic if coughing persists,MSHA 30 CFR 56.5002
SP-022,Drilling Operations,Cat MD6250,Struck-by flying rock,Critical,Inspect blast shield; verify exclusion zone established; check drill steel condition,Maintain 100-ft minimum exclusion zone; use blast mats if near structures; sound warning before drilling,Hard hat with face shield; high-vis vest; steel-toe boots; safety glasses; blast-rated ear protection,Evacuate zone; render first aid; call medic; secure drill and area,MSHA 30 CFR 56.3401
SP-023,Drilling Operations,Cat MD6250,Falling from mast during maintenance,High,Lock out/tag out before climbing; inspect fall arrest system; verify mast lowered if possible,Use personal fall arrest system above 6 ft; lower mast for maintenance when possible; two-person buddy system,Hard hat; full-body harness with lanyard; steel-toe boots; safety glasses; high-vis vest,Call 911; perform suspended-worker rescue; do not cut harness until on ground,OSHA 1926.502
SP-024,Excavator Operations,Cat 320,Ground worker in blind spot,High,Calibrate proximity detection system; test backup camera; verify mirrors clean,Use object detection system; require ground workers to make eye contact before approach; use spotter,Hard hat; high-vis vest (ANSI Class 2 minimum); steel-toe boots; safety glasses,Stop all movement immediately; check on ground worker; call medic if contact made,OSHA 1926.1428
SP-025,Loader Operations,Cat 950M,Hydraulic line burst,Medium,Inspect hoses daily for wear and bulging; check fittings for leaks; verify guards in place,Never use hands to check for leaks (use cardboard); shut down if leak detected; keep fire extinguisher on machine,Hard hat; safety glasses; chemical-resistant gloves; steel-toe boots; high-vis vest,Shut down machine; evacuate if spray contact; flush skin with water for 20 min; seek medical attention,OSHA 1910.147
